CityName,State_Capital,2010pop,2013pop,Growth,Form of Government,Median Income,Poverty,Nonwhite,Region,Subregion,Land Area Sq M,Density_pop_sq_km,FT_emp,FT_pay,PT_emp,PT_pay,FTE
Colorado SpringsCO,0,416427,439886,0.056334003,Mayor-Council,53962,0.125299139,0.199224997,West,Mountain,505601886,870.0244445,7333,40590079,1400,3581140,8120
ColumbiaSC,1,129272,133358,0.031607773,Council-Manager,41344,0.17395652,0.488504168,South,South Atlantic,345606703,385.8663586,2226,7186255,61,74441,2264
ColumbusOH,1,787033,822553,0.045131526,Mayor-Council,44072,0.202133666,0.377801982,Midwest,East North Central,564916690,1456.060716,7974,45926451,595,762488,8239
ConcordCA,0,122067,125880,0.031236944,Council-Manager,65798,0.11298905,0.303296188,West,Pacific,79108533,1591.231631,,,,,
CoronaCA,0,152374,159503,0.046786197,Council-Manager,77123,0.100955375,0.301951336,West,Pacific,100584520,1585.76091,597,4842682,201,262929,699
Corpus ChristiTX,0,305215,316381,0.036584047,Council-Manager,47481,0.164304693,0.153094083,Midwest,West South Central,451787003,700.2879629,2637,12060259,294,183030,2715
Costa MesaCA,0,109960,112174,0.020134594,Council-Manager,65830,0.141687186,0.329157309,West,Pacific,40723584,2754.521802,392,3922252,181,310089,486
Daly CityCA,0,101123,104739,0.035758433,Council-Manager,74436,0.082364407,0.75506067,West,Pacific,19788422,5292.94352,455,3660617,188,192277,528
DavenportIA,0,99687,102157,0.024777554,,44817,0.162970844,0.184817629,Midwest,West North Central,162894540,627.1358144,767,4115818,272,235452,870
DetroitMI,0,713777,688701,-0.035131421,Mayor-Council,26325,0.362864619,0.882014482,Midwest,East North Central,359360867,1916.460759,11811,56407153,141,289818,11910
DurhamNC,0,228330,245475,0.075088687,Council-Manager,49160,0.178484774,0.537680592,South,South Atlantic,283183192,866.8417015,2164,9123857,214,220503,2241
El CajonCA,0,99476,102211,0.027494069,,44112,0.243065911,0.24600855,West,Pacific,37498177,2725.759175,,,,,
El MonteCA,0,113475,115708,0.019678343,Council-Manager,39535,0.225273573,0.541359298,West,Pacific,24766390,4671.97682,,,,,
El PasoTX,0,649121,674433,0.038994271,Council-Manager,41406,0.198262699,0.18160549,Midwest,West South Central,664948797,1014.263058,5677,23692975,253,240934,5794
EscondidoCA,0,143911,148738,0.033541564,Council-Manager,49362,0.17388711,0.183382582,West,Pacific,95982072,1549.643563,718,4215484,354,449303,858
EugeneOR,0,156185,159190,0.019240004,Mayor-Council,42167,0.223439149,0.138541044,West,Pacific,114113687,1395.012327,1732,10790619,462,586830,1910
EverettWA,0,103019,105370,0.022821033,Mayor-Council,47482,0.15338055,0.234559941,West,Pacific,85760591,1228.652914,1083,7270344,133,220282,1160
FairfieldCA,0,105321,109320,0.037969636,Mayor-Council,64702,0.121708766,0.525442821,West,Pacific,105971205,1031.60099,,,,,
FayettevilleNC,0,200564,204408,0.019165952,Council-Manager,44900,0.152546405,0.53486159,South,South Atlantic,382659493,534.1772613,1994,8279700,99,61646,2025
FlintMI,0,102434,99763,-0.026075327,Mayor-Council,24834,0.372379463,0.603911499,Midwest,East North Central,86496980,1153.369748,3068,15992503,706,1911673,3522
FontanaCA,0,196069,203003,0.035365101,Council-Manager,64354,0.142683148,0.433711473,West,Pacific,111418803,1821.98152,524,4265207,490,551421,769
Fort WayneIN,0,253691,256496,0.011056758,Mayor-Council,43969,0.170283176,0.256643151,Midwest,East North Central,286488211,895.3108371,1927,9034972,145,137149,1997
FremontCA,0,214089,224922,0.050600451,Council-Manager,101535,0.057738848,0.695254203,West,Pacific,200632984,1121.061929,834,7481613,167,173208,894
FresnoCA,0,494665,509924,0.030847139,Mayor-Council,42015,0.261621464,0.468714246,West,Pacific,294152196,1733.537968,2952,18155050,412,631825,3208
FriscoTX,0,116989,136791,0.169263777,Council-Manager,108284,0.041710132,0.232462418,Midwest,West South Central,174859311,782.2917706,,,,,
Ft CollinsCO,0,143986,152061,0.056081841,Mayor-Council,53780,0.170376374,0.105174974,West,Mountain,143786342,1057.548289,,,,,
GarlandTX,0,226876,234566,0.033895167,Council-Manager,51842,0.148424908,0.550024546,Midwest,West South Central,147729310,1587.809488,1943,11171202,33,38338,1958
GlendaleCA,0,191719,196021,0.022439091,Council-Manager,53020,0.135209767,0.249181667,West,Pacific,78848696,2486.039845,,,,,
Grand PrairieTX,0,175396,183372,0.045474241,Council-Manager,53927,0.143051152,0.377777154,Midwest,West South Central,187094761,980.1022702,1134,6027154,203,139630,1208
Grand RapidsMI,0,188040,192294,0.022622846,Council-Manager,39227,0.239797612,0.306532796,Midwest,East North Central,115019766,1671.834387,1395,7340950,266,294649,1522
HamptonVA,0,137436,136699,-0.005362496,Council-Manager,50705,0.134180801,0.569886899,South,South Atlantic,133308914,1025.430302,4896,19584393,3040,1580719,5649
HaywardCA,0,144186,151574,0.051239371,Council-Manager,62013,0.132655627,0.620121906,West,Pacific,117943766,1285.137868,740,6903120,59,157479,772
HialeahFL,0,224669,233394,0.038834908,Council-Manager,29961,0.235329318,0.062587631,South,South Atlantic,55622907,4196.005074,,,,,
High PointNC,0,104371,107741,0.032288663,Mayor-Council,43083,0.193089489,0.459899927,South,South Atlantic,142817209,754.3978821,1398,5863648,160,176343,1460
HollywoodFL,0,140768,146526,0.040904183,Council-Manager,45585,0.146887411,0.281448703,South,South Atlantic,70639376,2074.282196,,,,,
HonoluluHI,1,337256,347884,0.031513153,Mayor-Council,59359,0.112670598,0.817909869,West,Pacific,156747181,2219.395576,9928,47956412,2008,690144,10195
Huntington BeachCA,0,189992,197575,0.039912207,Council-Manager,81389,0.084851214,0.222425814,West,Pacific,70213023,2813.936668,861,7170885,369,403207,1002
IndianapolisIN,1,820445,843393,0.027970187,Mayor-Council,41962,0.188651382,0.378903795,Midwest,East North Central,936287195,900.7845077,13579,59652968,1427,4300453,14463
InglewoodCA,0,109673,111542,0.017041569,Council-Manager,43394,0.207876294,0.722647737,West,Pacific,23485847,4749.328393,,,,,
IrvineCA,0,212375,236716,0.114613302,Council-Manager,90585,0.114595103,0.477890864,West,Pacific,169856563,1393.622924,700,7588971,569,929218,938
IrvingTX,0,216290,228653,0.057159369,Council-Manager,50778,0.147865578,0.417860506,Midwest,West South Central,173607797,1317.066422,1648,8586438,239,301073,1799
JacksonvilleFL,0,821784,842583,0.02530957,Mayor-Council,47557,0.157299863,0.395969247,South,South Atlantic,1935870907,435.2475142,9342,44974279,546,803549,9656
JolietIL,0,147433,147806,0.002529963,Council-Manager,61744,0.109169328,0.296509538,Midwest,East North Central,163957776,901.4881978,817,6202536,152,190553,887
KentWA,0,118590,124435,0.049287461,,57553,0.156115226,0.419919968,West,Pacific,87393046,1423.854708,568,3791002,159,227420,647
KilleenTX,0,127921,137147,0.072122638,Council-Manager,45895,0.148128958,0.505589125,Midwest,West South Central,138670239,989.0153864,1127,4425387,10,13386,1132
LakelandFL,0,97433,100710,0.033633369,,39513,0.171375164,0.257259776,South,South Atlantic,169965620,592.5315955,1996,10105093,277,287941,2107
LancasterCA,0,156633,159523,0.018450773,Council-Manager,50193,0.189663718,0.368391287,West,Pacific,244230402,653.1660215,,,,,
LaredoTX,0,236091,248142,0.051043877,Council-Manager,40041,0.276392377,0.0661223,Midwest,West South Central,253312707,979.5876525,2402,10601467,2,1981,2404
Las CrucesNM,0,97621,101324,0.037932412,,40040,0.210987438,0.120763011,West,Mountain,199270393,508.4749344,,,,,
LewisvilleTX,0,95309,101074,0.060487467,,58580,0.089091133,0.269417824,Midwest,West South Central,94986736,1064.085411,695,3567769,123,106932,739
LowellMA,0,106519,108861,0.021986688,Council-Manager,49452,0.1704353,0.419202352,Northeast,New England,35179749,3094.422305,2649,15136269,867,767599,2813
LubbockTX,0,229573,239538,0.043406672,,42986,0.193178991,0.227121057,Midwest,West South Central,317666300,754.0554349,2240,9434054,93,70848,2282
McAllenTX,0,129877,136639,0.052064646,Council-Manager,41163,0.247078225,0.124348625,Midwest,West South Central,127709196,1069.922952,1644,6566337,178,122836,1713
McKinneyTX,0,131117,148559,0.133026228,Mayor-Council,81118,0.081224617,0.202247844,Midwest,West South Central,163106079,910.8121592,825,4325029,71,71427,858
MemphisTN,0,646889,653450,0.010142389,Mayor-Council,36912,0.241530605,0.696323118,South,East South Central,822013063,794.9387053,9745,48255503,1224,2174542,10640
MesquiteTX,0,139824,143484,0.026175764,Council-Manager,50525,0.133455146,0.342292193,Midwest,West South Central,122329523,1172.930266,1021,5234174,135,120521,1081
MiamiFL,0,399457,417650,0.045544326,Mayor-Council,30375,0.276092814,0.250894421,South,South Atlantic,93199218,4481.260776,,,,,
Miami GardensFL,0,107167,111378,0.039293812,,42040,0.200879524,0.790352726,South,South Atlantic,47219353,2358.736258,,,,,
MidlandMI,0,111147,123933,0.115036843,Council-Manager,50928,0.131331103,0.092235428,Midwest,East North Central,88609800,1398.637622,317,1565387,131,188613,383
MinneapolisMN,0,382578,400070,0.045721395,Mayor-Council,49885,0.204203417,0.330454985,Midwest,West North Central,139888524,2859.920089,,,,,
MiramarFL,0,122041,130288,0.067575651,Council-Manager,62649,0.091369095,0.600104083,South,South Atlantic,76098449,1712.097969,771,4951492,125,199983,853
ModestoCA,0,201165,204933,0.018730893,Council-Manager,47060,0.191626075,0.276757029,West,Pacific,115823299,1769.35903,1054,7021076,248,260019,1155
MontgomeryAL,1,205764,201332,-0.021539239,Mayor-Council,43702,0.202627466,0.624057433,South,East South Central,413920794,486.4022367,2788,9895259,104,97825,2835
Moreno ValleyCA,0,193365,201175,0.040389936,Council-Manager,54918,0.182944852,0.438889285,West,Pacific,132800803,1514.862828,,,,,
MurfreesboroTN,0,108755,117044,0.076217185,Mayor-Council,49358,0.159434418,0.239102438,South,East South Central,144717170,808.7775625,1986,7662681,615,430955,2239
NashvilleTN,1,601222,634464,0.055290725,Mayor-Council,46686,0.167833237,0.38370618,South,East South Central,1232660435,514.7110932,,,,,
Newport NewsVA,0,180719,182020,0.007199022,Council-Manager,51027,0.133324127,0.491092391,South,South Atlantic,178332757,1020.676196,7546,30150334,1289,1480006,8256
NorfolkVA,0,242803,246139,0.013739534,,44747,0.162849769,0.518349789,South,South Atlantic,140080307,1757.127788,10949,43249321,1599,1534517,11756
NormanOK,0,110925,118197,0.065557809,Council-Manager,49038,0.158286664,0.190209507,Midwest,West South Central,463011592,255.2787059,2882,15564413,702,1406514,3201
North CharlestonSC,0,97690,104054,0.065144846,,39322,0.199854026,0.547101522,South,South Atlantic,190806989,545.3364185,1007,3786015,149,164697,1080
North Las VegasNV,0,216961,226877,0.045704067,,53751,0.145977927,0.475926727,West,Mountain,253858817,893.7132958,1012,7804454,394,204652,1150
NorwalkCA,0,105549,106589,0.009853244,,60770,0.121228998,0.495318105,West,Pacific,25145024,4238.969905,,,,,
OceansideCA,0,167086,172794,0.034162048,Council-Manager,58153,0.127403236,0.333994463,West,Pacific,106841894,1617.286942,972,5657464,0,0,972
OdessaTX,0,99875,110720,0.108585732,,52158,0.1318423,0.163927348,Midwest,West South Central,116994300,946.3708916,822,4037080,61,44954,842
Oklahoma CityOK,1,579999,610613,0.05278285,Council-Manager,45824,0.164021692,0.330439344,Midwest,West South Central,1571334365,388.5952052,4401,26124189,370,324564,4543
OlatheKS,0,125872,131885,0.047770751,Mayor-Council,76379,0.066700508,0.152549785,Midwest,West North Central,156601995,842.1667936,822,4171157,126,92085,861
OmahaNE,0,408958,434353,0.062096841,Mayor-Council,48052,0.149562484,0.240855008,Midwest,West North Central,344983630,1259.053944,2533,15361686,524,578814,2788
OntarioCA,0,163924,167500,0.021814987,Council-Manager,54249,0.167511557,0.419988896,West,Pacific,129329742,1295.139056,981,8412118,177,135034,1057
OrangeCA,0,136416,139969,0.026045332,Council-Manager,78838,0.107283386,0.365879463,West,Pacific,65677897,2131.143145,590,5204106,136,198068,654
OrlandoFL,0,238300,255483,0.072106588,Mayor-Council,42147,0.17603325,0.41052378,South,South Atlantic,272525073,937.4660364,2731,16310763,30,25304,2740
Overland ParkKS,0,173372,181260,0.045497543,Mayor-Council-Manager,71094,0.053467029,0.155937004,Midwest,West North Central,194561758,931.632207,,,,,
OxnardCA,0,197899,203007,0.025811146,Council-Manager,60784,0.151577861,0.276063014,West,Pacific,69672461,2913.733735,1129,8029279,380,737856,1367
Palm BayFL,0,103190,104898,0.016551991,Council-Manager,43076,0.169822976,0.248460454,South,South Atlantic,170217927,616.2570644,719,2957375,67,62796,744
PalmdaleCA,0,152750,157161,0.02887725,Council-Manager,53922,0.193040257,0.57310979,West,Pacific,274452756,572.6340748,,,,,
PasadenaTX,0,149043,152735,0.024771375,Mayor-Council,46058,0.19840833,0.244818782,Midwest,West South Central,112645407,1355.891945,935,4386024,108,141702,994
PatersonNJ,0,146199,145948,-0.001716838,Mayor-Council,32707,0.266001919,0.540398849,Northeast,Middle Atlantic,21800820,6694.61057,1483,8547396,292,367871,1590
PearlandTX,0,89894,100065,0.11314437,,92346,0.040872282,0.375980361,Midwest,West South Central,120033883,833.6396149,,,,,
Pembroke PinesFL,0,154750,162329,0.048975767,Council-Manager,62116,0.079784394,0.327661387,South,South Atlantic,85214050,1904.955814,672,4034894,103,140527,731
PeoriaAZ,0,154065,162592,0.055346769,Mayor-Council,62013,0.091764661,0.138311953,West,Mountain,455019478,357.3297581,1036,6118417,439,418205,1192
PlanoTX,0,259841,274409,0.056065055,Council-Manager,82484,0.072242633,0.30247432,Midwest,West South Central,185617084,1478.360688,2004,10740817,516,350187,2162
Pompano BeachFL,0,99844,104410,0.045731341,,40221,0.205810377,0.343482491,South,South Atlantic,62261568,1676.957445,676,3417102,198,274328,792
Port St. LucieFL,0,164603,171016,0.038960408,,48962,0.151517334,0.263296548,South,South Atlantic,307920854,555.3894703,,,,,
ProvoUT,0,112488,116288,0.033781381,Mayor-Council,39688,0.27956104,0.133982606,West,Mountain,107909745,1077.64132,600,2804088,412,307278,753
PuebloCO,0,106595,108249,0.015516675,Council-Manager,34663,0.212372823,0.251552188,West,Mountain,138802381,779.8785527,803,4288371,161,142995,870
Rancho CucamongaCA,0,165269,171386,0.037012386,Council-Manager,77835,0.062255951,0.347018952,West,Pacific,103562369,1654.906137,465,3102393,324,367916,614
RenoNV,0,225221,233294,0.035844792,Council-Manager,46770,0.170038784,0.203771636,West,Mountain,277850358,839.6390117,,,,,
RialtoCA,0,99170,101910,0.027629323,,49593,0.173946795,0.416246181,West,Pacific,57824783,1762.393125,,,,,
RichardsonTX,0,99223,104475,0.052931276,Council-Manager,69323,0.110728075,0.330362068,Midwest,West South Central,73976746,1412.26812,973,4790118,284,511838,1139
RichmondVA,1,204214,214114,0.048478557,Mayor-Council,40496,0.22870626,0.566057976,South,South Atlantic,154942137,1381.896521,8107,32242517,1719,2215915,8878
RochesterMN,0,106769,110742,0.037211176,Mayor-Council,62575,0.085774503,0.174017138,Midwest,West North Central,141424632,783.0460538,,,,,
RosevilleCA,0,118788,127035,0.069426205,Council-Manager,74114,0.078163538,0.204180631,West,Pacific,109329425,1161.947024,,,,,
Round RockTX,0,100002,109821,0.098188036,,69533,0.078966081,0.215316614,Midwest,West South Central,91887403,1195.169266,,,,,
SalemOR,1,154637,160614,0.03865181,Council-Manager,45971,0.164409922,0.191682013,West,Pacific,125786966,1276.873154,1109,6473780,137,226633,1181
SalinasCA,0,150441,155662,0.034704635,Council-Manager,49264,0.189352764,0.272371012,West,Pacific,61150707,2545.54702,467,3149318,160,194425,535
San BernardinoCA,0,209924,213708,0.018025571,Council-Manager,38385,0.293559245,0.490147876,West,Pacific,159326694,1341.31949,1067,6852431,165,252440,1168
San MateoCA,0,97207,101128,0.040336601,,85669,0.067818785,0.367369499,West,Pacific,31415730,3219.024355,,,,,
Santa ClaraCA,0,116468,120245,0.032429509,Council-Manager,91583,0.083935256,0.535856455,West,Pacific,47678887,2521.975817,848,8436361,325,486772,982
Santa ClaritaCA,0,176320,179590,0.018545826,Council-Manager,82607,0.088207435,0.260636199,West,Pacific,136573624,1314.968401,332,2462822,280,272800,449
Santa MariaCA,0,99456,102216,0.027750965,,50563,0.186496525,0.299874191,West,Pacific,59005327,1732.318168,439,3037630,174,268283,532
