CityName,State_Capital,2010pop,2013pop,Growth,Form of Government,Median Income,Poverty,Nonwhite,Region,Subregion,Land Area Sq M,Density_pop_sq_km,FT_emp,FT_pay,PT_emp,PT_pay,FTE
West CovinaCA,0,106098,107740,0.015476258,Council-Manager,67088,0.095829703,0.630191791,West,Pacific,41546641,2593.2301,,,,,
West JordanUT,0,103712,110077,0.061371876,Council-Manager,67308,0.080768578,0.110801184,West,Mountain,83717638,1314.860317,409,2003163,110,61144,443
West Palm BeachFL,0,99923,102436,0.025149365,Mayor-Council,44897,0.179860684,0.367103931,South,South Atlantic,142947183,716.6003404,1324,7439546,149,156164,1386
West Valley CityUT,0,129480,133579,0.031657399,Mayor-Council,52389,0.171717249,0.27283844,West,Mountain,91854060,1454.252539,618,2936415,240,153844,703
WestminsterCO,0,106114,110945,0.045526509,Council-Manager,64884,0.099220673,0.154125248,West,Mountain,82064751,1351.920266,802,4827184,402,562722,975
Wichita FallsTX,0,104553,104898,0.003299762,Council-Manager,44028,0.146069999,0.222993812,Midwest,West South Central,187027492,560.8694149,1179,4937512,159,54826,1206
WilmingtonNC,0,106476,112067,0.052509486,Mayor-Council,41573,0.211600479,0.247378605,South,South Atlantic,133663627,838.4255501,954,3990722,60,62128,981
Winston-SalemNC,0,229617,236441,0.029719054,Council-Manager,40148,0.205474143,0.436389787,South,South Atlantic,343172896,688.9850648,2259,7940547,175,199593,2378
WorcesterMA,0,181045,182544,0.008279709,Council-Manager,45932,0.187799957,0.262703339,Northeast,New England,96758255,1886.59872,5086,32586814,2959,3887923,6076
YonkersNY,0,195976,199766,0.019339103,Mayor-Council,59195,0.141620209,0.443058741,Northeast,Middle Atlantic,46651457,4282.095627,4890,37235923,1406,3164971,5902
